,event_id,event_name,event_date,location,ticket_price,venue_id,tags
84,85,Maker Journey Festival,2025-06-05,Preston,57.25,33,"['travel', 'diy']"
85,86,Virtual Couture Festival,2025-06-21,Liverpool,186.2,28,"['fashion', 'gaming', 'crafts', 'diy']"
86,87,Knowledge Explorer Retreat,2025-06-10,Preston,85.99,16,"['education', 'travel']"
87,88,Drive Maker Gala,2025-06-04,Preston,76.51,7,"['cars', 'automobiles', 'diy', 'travel']"
88,89,Insight Forge Gala,2025-06-22,Bolton,188.32,26,"['art', 'education', 'entrepreneurship']"
89,90,Melody Artistry Gala,2025-05-26,Stockport,81.35,14,"['entrepreneurship', 'travel', 'crafts', 'music']"
90,91,Maker Vitality Experience,2025-06-04,Preston,39.84,7,"['diy', 'fitness']"
91,92,Cruise Create Showcase,2025-06-18,Liverpool,147.59,18,"['diy', 'automobiles', 'cars', 'education']"
92,93,Speed Together Retreat,2025-05-26,Preston,163.42,8,"['parenting', 'cars']"
93,94,Discovery Vogue Conclave,2025-06-02,Liverpool,198.59,29,"['fashion', 'learning', 'education', 'beauty']"
94,95,Auto Runway Expo,2025-05-26,Manchester,123.12,25,"['diy', 'fashion', 'cars']"
95,96,Odyssey Quest Gala,2025-06-07,Manchester,105.41,23,"['fashion', 'gaming', 'travel', 'learning']"
96,97,Elegance Harmony Showcase,2025-06-10,Manchester,11.54,25,"['beauty', 'music']"
97,98,Journey Pulse Experience,2025-06-20,Bolton,101.69,4,"['travel', 'fitness', 'music', 'art', 'learning']"
98,99,Radiance Retreat,2025-06-18,Preston,25.65,8,['beauty']
99,100,Wanderlust Mind Gala,2025-06-04,Stockport,62.74,14,"['learning', 'nature', 'travel']"
