event_id,event_name,event_date,location,tags
59,Vitality Mind Retreat,2025-06-06,Manchester,"['nature', 'fitness', 'art', 'learning']"
60,Masterpiece Innovate Conclave,2025-06-04,Preston,"['business', 'art', 'music']"
61,Radiance Knowledge Showcase,2025-06-15,Stockport,"['beauty', 'education', 'art']"
62,Gallery Discovery Conclave,2025-06-19,Preston,"['travel', 'learning', 'art', 'business']"
63,Gathering Auto Festival,2025-06-10,Preston,"['family', 'cars']"
64,Nurture Summit,2025-06-03,Stockport,['parenting']
65,Knowledge Mind Expo,2025-06-17,Preston,"['education', 'learning']"
66,Mind Vitality Showcase,2025-06-03,Bolton,"['learning', 'fitness']"
67,Enterprise Showcase,2025-05-28,Bolton,['business']
68,Journey Festival,2025-05-27,Liverpool,['travel']
69,Knowledge Couture Conclave,2025-06-14,Bolton,"['art', 'education', 'crafts', 'fashion']"
70,Startup Glamour Retreat,2025-06-16,Bolton,"['beauty', 'entrepreneurship', 'crafts', 'diy', 'art', 'education']"
71,Motor Gathering Showcase,2025-05-27,Bolton,"['fashion', 'family', 'cars', 'fitness']"
72,Masterpiece Vogue Summit,2025-06-10,Bolton,"['cars', 'family', 'fashion', 'gaming', 'art']"
73,Odyssey Enterprise Conclave,2025-06-23,Bolton,"['travel', 'beauty', 'business']"
74,Wild Vitality Expo,2025-05-31,Liverpool,"['nature', 'fitness', 'music', 'entrepreneurship']"
75,Startup Gala,2025-06-08,Bolton,['entrepreneurship']
76,Discovery Pioneer Festival,2025-06-10,Preston,"['business', 'entrepreneurship', 'fashion', 'learning']"
77,Vogue Chic Expo,2025-05-27,Stockport,"['beauty', 'fashion', 'gaming', 'travel']"
78,Canvas Explorer Conclave,2025-05-31,Manchester,"['art', 'travel', 'diy']"
79,Wanderlust Road Festival,2025-06-21,Stockport,"['automobiles', 'cars', 'travel', 'crafts']"
80,Wanderlust Eco Summit,2025-06-05,Manchester,"['travel', 'nature', 'entrepreneurship', 'beauty']"
81,Couture Craft Experience,2025-06-21,Bolton,"['diy', 'travel', 'fashion']"
82,Eco Experience,2025-06-05,Bolton,['nature']
83,Enlighten Learn Experience,2025-05-26,Stockport,"['cars', 'music', 'education', 'learning']"
84,Odyssey Epic Summit,2025-06-21,Bolton,"['cars', 'nature', 'travel', 'gaming']"
85,Journey Festival,2025-06-02,Bolton,['travel']
86,Arena Runway Expo,2025-05-26,Liverpool,"['fashion', 'gaming']"
87,Enlighten Canvas Retreat,2025-06-13,Bolton,"['music', 'fitness', 'learning', 'art']"
88,Learn Scholar Conclave,2025-06-04,Manchester,"['learning', 'education']"
89,Scholar Creative Conclave,2025-06-09,Liverpool,"['cars', 'art', 'learning']"
90,Wanderlust Kin Expo,2025-06-19,Preston,"['cars', 'parenting', 'travel']"
91,Wanderlust Nurture Conclave,2025-06-04,Liverpool,"['parenting', 'family', 'travel']"
92,Odyssey Enterprise Experience,2025-06-18,Bolton,"['gaming', 'fashion', 'business', 'travel']"
93,Mind Wild Summit,2025-06-03,Manchester,"['education', 'learning', 'nature', 'travel', 'automobiles', 'cars']"
94,Odyssey Odyssey Experience,2025-06-18,Manchester,"['travel', 'travel']"
95,Crafted Vitality Expo,2025-06-03,Manchester,"['crafts', 'travel', 'music', 'fitness']"
96,Startup Melody Conclave,2025-06-08,Stockport,"['entrepreneurship', 'music']"
97,Clan Drive Summit,2025-06-01,Preston,"['diy', 'cars', 'family']"
98,Vitality Bloom Expo,2025-06-11,Stockport,"['gaming', 'nature', 'fitness']"
99,Odyssey Radiance Showcase,2025-06-06,Stockport,"['beauty', 'diy', 'travel', 'nature']"
100,Wanderlust Runway Showcase,2025-06-07,Stockport,"['fashion', 'gaming', 'cars', 'parenting', 'travel', 'crafts']"
